epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.5909,0.67449,4.33331,1.05429,0.12721,0.94444,0.65174,0.50585,0.37761,3.20974,0.87505,6.12952e-05,6.12952e-05,6.12952e-05
2,42.1295,0.55031,1.94542,0.95781,0.98742,0.70231,0.92239,0.74814,0.57623,2.77483,1.00463,0.000120527,0.000120527,0.000120527
3,61.5199,0.53071,1.21731,0.94111,0.90427,0.49448,0.84455,0.71973,0.49637,3.47329,0.93274,0.000177317,0.000177317,0.000177317
4,80.8441,0.50579,0.91398,0.93202,0.42415,0.77778,0.76803,0.65182,0.68888,3.96005,1.07896,0.000174011,0.000174011,0.000174011
5,100.339,0.50732,0.77651,0.93458,0.81091,0.43614,0.71723,0.61734,0.57161,3.93889,1.02435,0.000170348,0.000170348,0.000170348
6,119.475,0.48931,0.64397,0.92241,0.5119,0.66667,0.57964,0.5684,0.4747,4.62103,0.97988,0.000166685,0.000166685,0.000166685
7,139.134,0.47497,0.58136,0.91389,0.58889,0.77778,0.8212,0.67586,0.60014,3.45175,1.06326,0.000163022,0.000163022,0.000163022
8,157.872,0.46611,0.54999,0.91171,0.44444,0.55556,0.50603,0.45969,0.53655,4.537,0.97887,0.000159359,0.000159359,0.000159359
9,177.008,0.46714,0.52573,0.9148,0.87295,0.51646,0.65441,0.60303,0.56815,4.43153,1.05476,0.000155696,0.000155696,0.000155696
10,196.573,0.45416,0.49213,0.9106,0.74074,0.5,0.70634,0.65495,0.79901,4.1671,1.29674,0.000152033,0.000152033,0.000152033
11,215.813,0.45638,0.455,0.907,0.66667,0.61111,0.69221,0.65591,0.69094,4.22964,1.14605,0.00014837,0.00014837,0.00014837
12,234.921,0.44472,0.44036,0.90684,0.65833,0.77778,0.84155,0.74698,0.61099,4.12829,1.14311,0.000144707,0.000144707,0.000144707
13,253.905,0.43562,0.42739,0.90464,0.625,0.61111,0.69015,0.62133,0.67146,4.7148,1.16311,0.000141044,0.000141044,0.000141044
