epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.9592,1.23468,4.55306,1.35102,0.24096,0.88889,0.6208,0.39106,1.29084,3.49315,1.22413,6.12952e-05,6.12952e-05,6.12952e-05
2,46.7562,1.01597,2.52995,1.16831,0.42115,0.88889,0.8586,0.51001,1.48221,3.51045,1.27907,0.000120933,0.000120933,0.000120933
3,70.3381,0.99904,1.81975,1.15112,0.53922,0.77778,0.8102,0.45496,1.61391,3.23696,1.58255,0.000178536,0.000178536,0.000178536
4,94.1725,0.9541,1.40009,1.12248,0.44048,1,0.68676,0.43815,1.45021,3.24024,1.39202,0.000175843,0.000175843,0.000175843
5,117.933,0.93736,1.1892,1.10692,0.50667,0.88889,0.82452,0.56668,1.22545,2.95089,1.29923,0.00017279,0.00017279,0.00017279
6,141.733,0.92157,1.04618,1.09698,0.56813,0.81136,0.8495,0.61722,1.20915,2.84399,1.25395,0.000169737,0.000169737,0.000169737
7,165.065,0.89697,0.97053,1.08711,1,0.4373,0.79492,0.58131,1.02782,3.58419,1.18421,0.000166685,0.000166685,0.000166685
8,188.422,0.88749,0.90465,1.08429,0.88324,0.74365,0.88583,0.63106,1.16003,2.71026,1.22874,0.000163632,0.000163632,0.000163632
9,211.768,0.87837,0.85456,1.07897,1,0.53973,0.79753,0.56348,1.2661,2.58847,1.28729,0.00016058,0.00016058,0.00016058
10,235.437,0.86794,0.82031,1.07948,0.76667,1,0.995,0.75946,1.02822,2.6096,1.14371,0.000157528,0.000157528,0.000157528
11,258.456,0.86099,0.75275,1.07335,0.83238,0.79357,0.96357,0.75157,1.05321,1.84812,1.1404,0.000154475,0.000154475,0.000154475
12,282.478,0.83428,0.73987,1.05682,0.80952,0.61111,0.80387,0.59659,1.25652,3.48193,1.28527,0.000151422,0.000151422,0.000151422
13,306.397,0.81582,0.71584,1.04875,0.76667,1,0.995,0.72188,1.12459,2.19901,1.2148,0.00014837,0.00014837,0.00014837
14,329.587,0.82279,0.70556,1.04962,0.7381,1,0.951,0.79136,0.80629,2.19489,1.0165,0.000145317,0.000145317,0.000145317
15,352.924,0.79699,0.68261,1.04503,0.9413,0.75039,0.90788,0.65691,1.18908,2.17556,1.23046,0.000142265,0.000142265,0.000142265
16,375.977,0.78946,0.68354,1.03795,0.90748,0.76193,0.91333,0.65878,1.20583,2.42584,1.24975,0.000139212,0.000139212,0.000139212
17,399.663,0.77621,0.64437,1.03172,0.76667,0.72222,0.80443,0.62366,1.00877,3.07992,1.13473,0.00013616,0.00013616,0.00013616
18,423.452,0.76445,0.637,1.02814,0.74359,0.94444,0.96887,0.62388,1.16131,2.3019,1.22991,0.000133107,0.000133107,0.000133107
19,446.308,0.75641,0.61357,1.0218,0.84772,0.72775,0.83055,0.56948,1.27683,3.13886,1.30276,0.000130055,0.000130055,0.000130055
20,470.491,0.75279,0.62542,1.02443,0.86989,0.76393,0.88583,0.60249,1.27389,2.62127,1.32574,0.000127003,0.000127003,0.000127003
